average,median,maximum,minimum,peak,nonelevatedpeak,standarddeviation,standarddeviationpop,percentile15,percentile25,percentile50,percentile75,amplitude,variance,class
2914330.0000000033,9254.270951515959,908132276.0,2986.2685478310054,4.803848568967819e-05,0.30523545315040396,44814660.00405675,44868106.248457044,4826.475610492095,5592.164442892972,9254.270951515959,36625.59000388894,908129289.7314522,2013146958322829.8,lncRNA
555250.0,3625.668743557993,101586996.0,1245.3054398126715,0.000165090799939967,0.3774584723793087,6289189.066080458,6300655.236157895,1732.3996173481596,2099.7373407539308,3625.668743557993,9686.06413001921,101585750.69456019,39698256404923.91,lncRNA
1114183.999999997,4628.238488081978,354555496.0,747.3594373829753,0.00013402932848913083,0.4118225671078033,16999236.899554286,17018241.083129454,2313.5459257819366,2697.0852596998157,4628.238488081978,16042.043615896866,354554748.6405626,289620529563515.1,lncRNA
527529.0000000006,4125.794721058383,80338931.0,1503.3650438669254,0.00013522163394492673,0.28654967395090575,5561155.403855749,5574194.473112448,2215.118856337731,2415.0295616648887,4125.794721058383,11443.491986195628,80337427.63495614,31071644024077.36,lncRNA
149576.0,1863.0749074664268,21085320.0,213.06053134316707,0.0004613039525057496,0.3668636837150759,1492220.634552411,1495838.1444295784,999.4647064592704,1141.234256400986,1863.0749074664268,6812.114143153088,21085106.939468656,2237531754330.5244,lncRNA
724703.9999999991,3212.9739900430536,136581000.0,948.2625084878878,0.00013936724510972773,0.31281505221160816,8177026.85308297,8190553.788472101,1565.0475813700216,1852.1776164375885,3212.9739900430536,12215.487480765356,136580051.73749152,67085171361854.69,lncRNA
6164009.0000000065,22195.89386754325,2081077235.0,8003.0,2.541635916927871e-05,0.24713011697746964,97431112.37632592,97534928.18881002,11066.031765149582,12153.271070619274,22195.89386754325,67065.92658111487,2081069232.0,9513062216796328.0,lncRNA
2656929.999999996,7108.281272326442,839372276.0,2322.025679294474,5.068506383934348e-05,0.3276497457183965,41986194.18862848,42038253.96583394,3970.2462066118455,4736.659157673104,7108.281272326442,25794.47390958126,839369953.9743207,1767214796495952.8,lncRNA
425233.0000000001,2932.8379706396195,76382995.0,898.4701664940911,0.00018029331370487863,0.3308221884512274,5050628.038213267,5061643.5977290375,1612.594968323238,1829.7969564791724,2932.8379706396195,10790.158662161564,76382096.52983351,25620235910431.35,lncRNA
6608497.999999996,19801.441753395116,2374229556.0,6876.956837436896,2.52200525242902e-05,0.2612814676858771,107945277.98062234,108053385.44685623,10431.11757331599,11744.685322144065,19801.441753395116,59391.12323606096,2374222679.0431623,1.1675534106526882e+16,lncRNA
303743.0,2296.9889217801274,49424259.0,680.2876502118484,0.0002381399187251503,0.34309403706900005,3374491.1836145017,3382293.4857842447,1029.7595045058001,1357.872506990512,2296.9889217801274,7559.19930236247,49423578.71234979,11439909223978.537,lncRNA
401352.9999999999,2921.2486241405004,64460763.0,892.2201078589883,0.00017025743755081773,0.30439427048765744,4516094.405636579,4527149.732841429,1388.8720537670797,1567.636198583498,2921.2486241405004,8482.469150670026,64459870.77989214,20495084703566.227,lncRNA
1907351.0000000019,7419.724522338052,475595811.0,1736.5391545376317,6.588544356369989e-05,0.2847412608476057,25218851.69413429,25252365.133098777,3942.8678683126327,4423.110049877486,7419.724522338052,23938.53952648164,475594074.4608455,637681944815342.9,lncRNA
