average,median,maximum,minimum,peak,nonelevatedpeak,standarddeviation,standarddeviationpop,percentile15,percentile25,percentile50,percentile75,amplitude,variance,class
4709937.000000008,9185.25487353721,3179896691.0,806.1102605268375,6.433207068374788e-05,0.5796282823844892,106664757.42624754,106723477.36321722,4180.657488379145,4992.974390567999,9185.25487353721,27711.292086916226,3179895884.8897395,1.1389900620497138e+16,mRNA
11287092.999999993,18955.53180408773,8788125243.0,4698.57111218039,3.20720313015938e-05,0.49776809930615173,270574420.2034753,270699080.1595032,9631.294656499533,11355.12133247765,18955.53180408773,67056.23097669802,8788120544.428888,7.327799199920114e+16,mRNA
66292826.00000011,42940.61588580173,102195998948.0,8484.34464393681,1.0634634884927048e-05,0.5451714894743941,2259443528.074801,2259977864.969601,21736.927509797257,25466.587182622327,42940.61588580173,135436.40244120022,102195990463.65535,5.107499950152557e+18,mRNA
112538365.99999946,85912.70412190826,121368036204.0,27563.128949438345,5.0560535062327345e-06,0.31011746987721456,3076679277.309495,3077580868.3258615,45914.24749947216,51493.54330623693,85912.70412190826,279954.75915110274,121368008640.87105,9.471504001085362e+18,mRNA
4383250.999999996,10938.084799746177,2292183443.0,2420.8081529518363,5.848018590159074e-05,0.46574054206534543,84100627.39235687,84155362.59333006,5244.334581372965,6296.167648111002,10938.084799746177,37524.31857077489,2292181022.191847,7082125053214855.0,mRNA
43927739.99999994,60622.1930722416,54552313800.0,19424.97294095331,1.2808914518859094e-05,0.41114001887190726,1340051217.6634295,1340448328.716053,30882.40086374985,35435.13010911713,60622.1930722416,208707.26391518905,54552294375.02706,1.79680172195766e+18,mRNA
34676037.999999896,30983.59711220888,55569263108.0,4502.3349756642165,1.8254680652962773e-05,0.6485142683184477,1277623483.0999515,1277960009.7706368,14959.197955331645,17523.84974159508,30983.59711220888,92869.8323037283,55569258605.66502,1.6331817865729661e+18,mRNA
211276174.9999992,123950.15373266723,435913830907.0,39328.084555639776,4.067346132773071e-06,0.3886378569086206,8625080863.868967,8626754174.751694,65814.73750539572,74082.84912839447,123950.15373266723,423895.19593582087,435913791578.91547,7.442088759159577e+19,mRNA
20216158.000000153,20401.794929623735,16973235175.868063,2672.5937212844256,3.5532633516879314e-05,0.7925214076689319,523685138.4173629,523806685.39321744,10024.753880525583,11924.31915968125,20401.794929623735,66382.76271629645,16973232503.274342,2.743734436626291e+17,mRNA
3683106.0000000014,5867.401340850638,3044515428.0,642.6732529922239,0.0001191023735582594,0.961164371021215,88019483.41868359,88052944.5426517,2725.4135575713285,3422.150789314173,5867.401340850638,17906.887245226877,3044514785.326747,7753321042631295.0,mRNA
